1000000057	0	0		14316331			somatic	ING:6iaib	0	0	0	0	0	0	0	0	1	0	N	N	Y	0	0	N	N	0	0	ind	1	0			0	0	0	0
1000000311	0	0		25846916			hereditary	ING:b87ap	0	0	0	0	0	0	0	0	0	0	N	N	N	0	0	N	N	0	0		0	0		likely pathogenic	0	0	0	0
1000000437	0	0		25566032			somatic	ING:6iaib	0	0	0	0	0	0	0	0	1	0	N	N	Y	0	0	N	N	0	0	ind	1	0			0	0	0	0
1000000889	0	0		23872094			unknown	ING:1ixik	0	0	0	0	0	0	0	0	0	0	N	N	N	0	0	N	N	0	0		0	0			0	0	0	0
1000001043	0	0		22944995			somatic	ING:6iaib	0	0	0	0	0	0	0	0	0	0	N	N	N	0	0	N	N	0	0	ind	0	0			0	0	0	0
100000119	0	0		22835372			somatic	ING:6iaib	0	0	0	0	0	0	0	0	0	0	N	N	N	0	0	N	N	0	0	ind	0	0			0	0	0	0
1000001441	0	0		16801658			somatic	ING:6iaib	0	0	0	0	0	0	1	0	0	0	N	N	N	0	0	N	N	1	0	ind	1	0			0	0	0	0
1000001567	0	0		19794031			somatic	ING:1ixik	0	0	0	0	0	0	0	0	1	0	N	N	Y	0	0	N	N	0	0	ind	1	0			0	0	0	0
100000173	0	0		24752375			unknown	ING:1ixik	0	0	0	0	0	0	0	0	0	0	N	N	N	0	0	N	N	0	0		0	0			0	0	0	0
1000001787	0	0		24933049			somatic	ING:6iaib	0	0	0	0	0	0	0	0	1	0	N	N	N	0	0	N	N	0	0	ind	1	0			0	0	0	0
